"","submission_sample_ID","sample_year_extract_ID","gene","sampleNames","year","location","site","sample_type","sample_number","sample_control"
"250_18S","CBW_250_18S","2016_01","18S","250_18S","2016","sierra","Greenstone","eDNA","335","samples"
"251_18S","CBW_251_18S","2021_18","18S","251_18S","2021","sierra","Cathedral 1 lower","eDNA","336","samples"
"252_18S","CBW_252_18S","2017_16","18S","252_18S","2017","sierra","Helen","eDNA","337","samples"
"NA.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255_18S","CBW_255_18S","2017_15","18S","255_18S","2017","sierra","Spillway","eDNA","340","samples"
"256_18S","CBW_256_18S","2021_01","18S","256_18S","2021","sierra","Upper Gaylor","eDNA","341","samples"
"257_18S","CBW_257_18S","2017_05","18S","257_18S","2017","sierra","Virginia","eDNA","342","samples"
"258_18S","CBW_258_18S","2021_24","18S","258_18S","2021","sierra","Cascade","eDNA","343","samples"
"259_18S","CBW_259_18S","2017_14","18S","259_18S","2017","sierra","Cathedral upper","eDNA","344","samples"
"260_18S","CBW_260_18S","2016_18","18S","260_18S","2016","sierra","Blue","eDNA","345","samples"
"261_18S","CBW_261_18S","2021_05","18S","261_18S","2021","sierra","Virginia","eDNA","346","samples"
"262_18S","CBW_262_18S","2016_15","18S","262_18S","2016","sierra","Spillway","eDNA","347","samples"
"263_18S","CBW_263_18S","2017_10","18S","263_18S","2017","sierra","Gaylor upper","eDNA","348","samples"
"264_18S","CBW_264_18S","2016_23","18S","264_18S","2016","sierra","Steelhead","eDNA","349","samples"
"265_18S","CBW_265_18S","2021_03","18S","265_18S","2021","sierra","Sunrise 3","eDNA","350","samples"
"266_18S","CBW_266_18S","2016_08","18S","266_18S","2016","sierra","Secret","eDNA","351","samples"
"267_18S","CBW_267_18S","2021_12","18S","267_18S","2021","sierra","Polydome 3","eDNA","352","samples"
"268_18S","CBW_268_18S","2017_11","18S","268_18S","2017","sierra","Sunrise 2","eDNA","353","samples"
"269_18S","CBW_269_18S","2016_17","18S","269_18S","2016","sierra","Elizabeth","eDNA","354","samples"
"270_18S","CBW_270_18S","2021_06","18S","270_18S","2021","sierra","Cathedral 2 upper","eDNA","355","samples"
"271_18S","CBW_271_18S","2017_22b","18S","271_18S","2017","sierra","Lower Cathedral","eDNA","356","samples"
"272_18S","CBW_272_18S","2017_02","18S","272_18S","2017","sierra","Serene","eDNA","357","samples"
"273_18S","CBW_273_18S","2017_03","18S","273_18S","2017","sierra","Blue.sample 2","eDNA","358","samples"
"274_18S","CBW_274_18S","2019_06","18S","274_18S","2019","sierra","Serene","eDNA","359","samples"
"275_18S","CBW_275_18S","2019_17","18S","275_18S","2019","sierra","Spillway ","eDNA","360","samples"
"276_18S","CBW_276_18S","2019_03","18S","276_18S","2019","sierra","Polydome 1","eDNA","361","samples"
"277_18S","CBW_277_18S","2019_18","18S","277_18S","2019","sierra","Lukens","eDNA","362","samples"
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279_18S","CBW_279_18S","2019_05","18S","279_18S","2019","sierra","Helen","eDNA","364","samples"
"280_18S","CBW_280_18S","2019_19","18S","280_18S","2019","sierra","Gardisky ","eDNA","365","samples"
"281_18S","CBW_281_18S","2019_04","18S","281_18S","2019","sierra","Upper Gaylor ","eDNA","366","samples"
"282_18S","CBW_282_18S","2019_13","18S","282_18S","2019","sierra","Eastern Brook  ","eDNA","367","samples"
"283_18S","CBW_283_18S","2019_07","18S","283_18S","2019","sierra","Virginia","eDNA","368","samples"
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285_18S","CBW_285_18S","2019_14","18S","285_18S","2019","sierra","Upper Cathedral","eDNA","370","samples"
"286_18S","CBW_286_18S","2019_20","18S","286_18S","2019","sierra","Sunrise 3","eDNA","371","samples"
"287_18S","CBW_287_18S","2019_16","18S","287_18S","2019","sierra","Elizabeth","eDNA","372","samples"
"288_18S","CBW_288_18S","2019_10","18S","288_18S","2019","sierra","Sunrise 2","eDNA","373","samples"
"289_18S","CBW_289_18S","2019_02","18S","289_18S","2019","sierra","Polydome 3","eDNA","374","samples"
"290_18S","CBW_290_18S","2019_09","18S","290_18S","2019","sierra","Lower Cathedral","eDNA","375","samples"
"NA.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292_18S","CBW_292_18S","2019_11","18S","292_18S","2019","sierra","Granite ","eDNA","377","samples"
"293_18S","CBW_293_18S","2019_15","18S","293_18S","2019","sierra","Lower Gaylor","eDNA","378","samples"
"294_18S","CBW_294_18S","2019_01","18S","294_18S","2019","sierra","Polydome 2","eDNA","379","samples"
"295_18S","CBW_295_18S","2019_21","18S","295_18S","2019","sierra","Blue ","eDNA","380","samples"
"296_18S","CBW_296_18S","2019_08","18S","296_18S","2019","sierra","May","eDNA","381","samples"
"297_18S","CBW_297_18S","2019_12","18S","297_18S","2019","sierra","Sunrise 1","eDNA","382","samples"
"NA.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
